"Play Duration Milliseconds","First Played","Last Played","Source Type","Date Created"
8785455,1738155629186,1738191223259,"UNKNOWN_DEVICE, IPHONE",20250129
4363263,1738029749619,1738088249545,"UNKNOWN_DEVICE, IPHONE",20250128
6464209,1737943389454,1738000873718,"UNKNOWN_DEVICE, IPHONE",20250127
17126862,1737857041847,1737935457831,"UNKNOWN_DEVICE, IPHONE",20250126
22681514,1737815755223,1737832897492,"UNKNOWN_DEVICE, IPHONE",20250125
4897136,1737722568286,1737758543868,"UNKNOWN_DEVICE, IPHONE",20250124
5421603,1737632067868,1737668040068,"UNKNOWN_DEVICE, IPHONE",20250123
10591000,1737423624883,1737494159396,UNKNOWN_DEVICE,20250121
5457661,1737338743921,1737403157958,"UNKNOWN_DEVICE, IPHONE, MACINTOSH",20250120
5600469,1737252836392,1737321154189,"UNKNOWN_DEVICE, IPHONE",20250119
12035949,1737217776273,1737242890682,"UNKNOWN_DEVICE, IPHONE",20250118
7232645,1737115204100,1737151635609,"UNKNOWN_DEVICE, IPHONE",20250117
2765363,1736992970312,1737063154194,IPHONE,20250116
5273075,1736946169832,1736964255974,"UNKNOWN_DEVICE, IPHONE",20250115
7341810,1736827358974,1736879513084,"UNKNOWN_DEVICE, IPHONE",20250114
2809000,1736770074674,1736773692535,UNKNOWN_DEVICE,20250113
2988000,1736706115228,1736709101917,UNKNOWN_DEVICE,20250112
2414000,1736623392865,1736632370328,UNKNOWN_DEVICE,20250111
2514000,1736511267239,1736529229008,UNKNOWN_DEVICE,20250110
38380000,1736424901644,1736460832964,UNKNOWN_DEVICE,20250109
3982940,1736340071953,1736373019291,"UNKNOWN_DEVICE, IPHONE",20250108
70220,1736255046294,1736255130875,IPHONE,20250107
1682551,1735929735814,1735935038022,IPHONE,20250103
2237437,1735829951893,1735845001174,IPHONE,20250102
1516288,1735673422765,1735675705889,IPHONE,20241231
2469182,1735520610596,1735575759415,IPHONE,20241230
4060519,1734968787819,1734972851519,MACINTOSH,20241223
61931,1734797404372,1734806196071,IPHONE,20241221
641422,1734646262335,1734650257869,IPHONE,20241219
732823,1734527184055,1734535327172,IPHONE,20241218
839938,1734354271097,1734355170958,IPHONE,20241216
988330,1734095229355,1734097039141,IPHONE,20241213
107891,1733949112785,1733949199694,ANDROID,20241211
1925495,1733679463941,1733694461141,"IPHONE, ANDROID",20241208
462058,1733533686584,1733534003514,ANDROID,20241207
1326030,1733330835726,1733339878856,IPHONE,20241204
496329,1733012641046,1733013147364,ANDROID,20241201
2465128,1732889163615,1732891434497,ANDROID,20241129
132590,1732465531265,1732465663855,IPHONE,20241124
105903,1732383362960,1732383468863,ANDROID,20241123
496246,1732308232909,1732308797602,ANDROID,20241122
58583,1731893348018,1731893406601,ANDROID,20241118
1273579,1731868349347,1731870057957,ANDROID,20241117
294214,1731766208765,1731766878290,ANDROID,20241116
86382,1731634113674,1731634161849,ANDROID,20241115
191715,1731532978266,1731533263641,ANDROID,20241113
170895,1731255599575,1731269460367,ANDROID,20241110
1881095,1731012728372,1731021587444,"IPHONE, ANDROID",20241107
483544,1730824698666,1730826753301,ANDROID,20241105
99271,1730566129627,1730566303649,ANDROID,20241102
121503,1730475149007,1730476674127,ANDROID,20241101
1245580,1730333067943,1730404209305,ANDROID,20241031
164450,1730323725826,1730329080525,ANDROID,20241030
470069,1730071042443,1730072792161,ANDROID,20241027
153309,1729964847371,1729969294450,ANDROID,20241026
260706,1729889417627,1729890457194,ANDROID,20241025
8014045,1729781452145,1729790578192,IPHONE,20241024
616480,1729713924024,1729716129120,ANDROID,20241023
698286,1729612832122,1729613546267,IPHONE,20241022
1041423,1729543300979,1729545368983,ANDROID,20241021
1640969,1729443598767,1729452657807,ANDROID,20241020
2073806,1729257725290,1729265278398,IPHONE,20241018
40276,1729123556813,1729124270434,ANDROID,20241017
684402,1729006689988,1729007381921,IPHONE,20241015
327788,1728948735955,1728949135963,ANDROID,20241014
807206,1728827069414,1728828001653,ANDROID,20241013
2155663,1728740289282,1728769129404,ANDROID,20241012
121758,1728660785721,1728686502124,ANDROID,20241011
2253331,1728561823582,1728592507663,IPHONE,20241010
1856318,1728225183274,1728260228445,ANDROID,20241006
3261072,1728137023447,1728153242584,"IPHONE, ANDROID",20241005
2055534,1727999926363,1728001802008,ANDROID,20241004
3202840,1727996787183,1727999870088,ANDROID,20241003
837734,1727882024282,1727882907007,IPHONE,20241002
736686,1726674279575,1726675024500,IPHONE,20240918
192342,1725919932173,1725920552568,IPHONE,20240909
745943,1725562360208,1725563201036,IPHONE,20240905
1624000,1725399116459,1725400749852,UNKNOWN_DEVICE,20240903
2149000,1725300574912,1725302723623,UNKNOWN_DEVICE,20240902
8671000,1725198671170,1725227367284,UNKNOWN_DEVICE,20240901
4387807,1725109921883,1725147067771,"UNKNOWN_DEVICE, IPHONE",20240831
2508848,1725019767102,1725024771194,"UNKNOWN_DEVICE, IPHONE",20240830
984115,1724932955288,1724935168448,IPHONE,20240829
432294,1724634162079,1724634594546,IPHONE,20240826
331873,1724519369544,1724519701824,IPHONE,20240824
10930545,1724371055420,1724454409543,"UNKNOWN_DEVICE, ANDROID",20240823
11178103,1724284543551,1724371217003,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240822
20139157,1724252266216,1724284499292,"UNKNOWN_DEVICE, ANDROID",20240821
20835944,1724111437170,1724198323818,"UNKNOWN_DEVICE, ANDROID",20240820
22407984,1724025397810,1724111405732,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240819
8269701,1723940446280,1724029542591,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240818
5477600,1723905052587,1723938459038,"UNKNOWN_DEVICE, ANDROID",20240817
6877263,1723815590527,1723846308798,"UNKNOWN_DEVICE, IPHONE, MACINTOSH, ANDROID",20240816
5517383,1723723247956,1723742387934,"UNKNOWN_DEVICE, ANDROID",20240815
11841117,1723627452356,1723675237652,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240814
5680163,1723559427847,1723590150123,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240813
3045376,1723422025866,1723497919482,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240812
5654692,1723376842187,1723417314303,"UNKNOWN_DEVICE, IPHONE",20240811
2792004,1723252335469,1723333714068,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240810
12199509,1723214469419,1723240456962,"UNKNOWN_DEVICE, ANDROID",20240809
4652449,1723130287449,1723158815915,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240808
8662834,1722988708751,1723050911723,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240807
6081342,1722903477414,1722988708804,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240806
7038499,1722854924802,1722900557747,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240805
4809574,1722786370625,1722793669318,"UNKNOWN_DEVICE, IPHONE, ANDROID",20240804
7213108,1722643184845,1722719475359,"UNKNOWN_DEVICE, ANDROID",20240803
5345000,1722600497292,1722633350746,UNKNOWN_DEVICE,20240802
