"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2025-08-01T23:37:23.955Z,N/A,N/A,"Journey - Separate Ways (Worlds Apart)",false,"United States",N/A,476986076,voice_control,2025-08-01T23:37:23.955Z,NATURAL_END_OF_TRACK,2025-08-01T23:42:46.955Z,2025-08-01T23:42:46.955Z,2025-08-01T23:37:23.955Z,323000,323000,323000,AUDIO,0,1,0,323000
2025-08-01T23:33:59.626Z,N/A,N/A,"Slipknot - The Dying Song (Time To Sing)",false,"United States",N/A,1635220069,voice_control,2025-08-01T23:33:59.626Z,NATURAL_END_OF_TRACK,2025-08-01T23:37:23.626Z,2025-08-01T23:37:23.626Z,2025-08-01T23:33:59.626Z,204000,204000,204000,AUDIO,0,1,0,204000
2025-08-01T23:30:32.845Z,N/A,N/A,"Alice In Chains - Would?",false,"United States",N/A,157317248,voice_control,2025-08-01T23:30:32.845Z,NATURAL_END_OF_TRACK,2025-08-01T23:33:59.845Z,2025-08-01T23:33:59.845Z,2025-08-01T23:30:32.845Z,207000,207000,207000,AUDIO,0,1,0,207000
2025-08-01T23:26:53.089Z,N/A,N/A,"Aerosmith - Walk This Way",false,"United States",N/A,1660109283,voice_control,2025-08-01T23:26:53.089Z,NATURAL_END_OF_TRACK,2025-08-01T23:30:33.089Z,2025-08-01T23:30:33.089Z,2025-08-01T23:26:53.089Z,220000,220000,220000,AUDIO,0,1,0,220000
2025-08-01T23:23:57.174Z,N/A,N/A,"Md Moinul Hasan - Enjoy Journey",false,"United States",N/A,1581500406,search,2025-08-01T23:23:57.174Z,SCRUB_BEGIN,2025-08-01T23:26:45.841Z,2025-08-01T23:40:14.559Z,2025-08-01T23:26:45.784Z,82914,79911,213000,AUDIO,0,1,0,145742
2025-08-01T23:21:49.041Z,N/A,N/A,"Mötley Crüe - Kickstart My Heart (2024 Remaster)",false,"United States",N/A,1763317271,voice_control,2025-08-01T23:21:49.041Z,NATURAL_END_OF_TRACK,2025-08-01T23:26:52.842Z,2025-08-01T23:26:52.842Z,2025-08-01T23:22:10.842Z,282000,282000,283000,AUDIO,0,1,0,466000
2025-08-01T23:14:05.503Z,N/A,N/A,"Ozzy Osbourne - No More Tears",false,"United States",N/A,209695373,voice_control,2025-08-01T23:14:05.503Z,NATURAL_END_OF_TRACK,2025-08-01T23:21:48.346Z,2025-08-01T23:21:48.346Z,2025-08-01T23:14:23.346Z,445000,445000,445000,AUDIO,0,1,0,787000
2025-08-01T23:10:37.570Z,"Radio Station",N/A,"Ozzy Osbourne - Believer",false,"United States",ra.a-886834,1592004628,voice_control,2025-08-01T23:10:37.570Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T23:14:03.570Z,2025-08-01T23:14:03.570Z,2025-08-01T23:10:37.570Z,206000,206000,317000,AUDIO,0,1,0,206000
2025-08-01T22:29:52.857Z,N/A,N/A,"Boy Tedson - Bungalow",false,"United States",N/A,1520581154,search,2025-08-01T22:29:52.857Z,SCRUB_BEGIN,2025-08-01T22:56:28.608Z,2025-08-01T23:23:50.847Z,2025-08-01T22:56:28.549Z,228674,84238,293000,AUDIO,0,1,0,234807
2025-08-01T19:14:05.112Z,"Radio Station",N/A,"Marilyn Manson - Third Day of a Seven Day Binge",false,"United States",ra.a-251375,1170145638,voice_control,2025-08-01T19:14:05.112Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T19:14:24.313Z,2025-08-01T19:14:24.313Z,2025-08-01T19:14:06.313Z,18000,18000,267000,AUDIO,0,1,0,36000
